subid,sdint,luint,pgint,irint,irfrBIN1to5,trint,taint,arint,ttint,mcint,mcfrBIN1to5,efint,elint,tkint,ilint,ugint,mpint,maarint,ueint,grint,grctint,fiint,pjint,isiint,islint,dcint,dnsint,sbint,anint,liint,aint
117,2,2,1,2,5,2,1,1,2,1,,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
118,1,1,2,1,2,1,2,2, ,1,2.00,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1
119,1,1,1,1,2,1,1,1, ,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120,1,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
121,1,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
122,1,1,1,1,2,1,1,1,2,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
125,1,1,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
126,1,1,2,2,4,1,2,2,3,2,5.00,2,1,1,1,1,3,2,1,2,1,1,1,1,1,1,1,2,1,1,1
127,2,1,2,2,5,2,2,2,2,2,5.00,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1
128,1,1,1,1,2,2,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
129,2,3,1,2,4,3,1,2,2,1,,2,2,1,1,4,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1
132,1,1,1,1,2,1,1,1,2,1,2.00, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
133,1,1,1,1,2,2,2,2,3,3,5.00,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
134,1,1,1,1,2,1,1,1,1,1,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
136,2,2,1,2, ,3,2,2,2,1,,2,2,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
138,2,2,1,2,4,2,1,1,2,2,4.50,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1
