subid,sdint,luint,pgint,irint,irfrBIN1to5,trint,taint,arint,tting,mcint,mcfrBIN1to5,efint,elint,tkint,ilint,ugint,mpint,maarint,ueint,grint,grctint,fiint,pjint,isiint,islint,dcint,dnsint,sbint,anint,liint,aint
333,3,2,1,3,2.5,2,1,1,2,1,3,1,2,2,1,1,1,1,1,3,1,1,2,2,1,1,1,1,2,1,1
334,3,2,1,3,1.5,2,1,1,2,2,3.5,1,1,1,1,1,1,1,1,2,1,1,1,4,1,1,1,1,1,1,1
337,2,2,1,2,2.5,2,2,1,1,1,3,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2
339,2,2,1,4,3,2,2,2,3,2,3.5,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2
342,2,3,1,3,3.5,2,2,2, ,1,3,2,3,2,1,2,1,1,1,3,2,1,1,1,1,1,2,1,1,1,1
343,2,3,1,2,2.5,3,1,1, ,2, ,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1
344,3,2,1,3,5,3,1,2, ,1,3,1,1,1,1,2,1,1,1,3,3,1,2,4,1,1,1,1,1,1,1
345,3,3,2,4,4.5,4,2,2, ,2,5,2,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1
346,2,1,1,2,2.5,1,1,1,1,1,3,1,1,1,1,1,1,1,2,3,1,1,2,1,1,3,1,1,1,1,1
347,1,2,1,2,2.5,2,1,1,2,1,3,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
348,3,3,1,2,4.5,3,1,1,2,1,3,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2
349,2,2,1,3,2,2,1,1,3,1,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1
350,2,2,1,1,1.5,2,1,1,1, , ,1, ,1,1,1,1,1,1,1,1,1,2,1,1, ,1,1,1,1,1
352,3,3,2,3,2.5,3,1,1,2,1,3,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1
353,2,2,2,3,3,2,1,1,3,1,3,2,2,2,2,2,2,1,1,2,1,2,2,1,1,3,2,1,2,1,2
354,2,2,1,2,2.5,2,1,2, ,1,3,2,3,3,1,2,1,3,3,4,1,1,1,2,1,1,3,1,1,1,1
355,2,2,1,3,3,2,2,2,3,1,3,2,2,1,1,2,2,1,1,3,1,1,1,1,1,2,2,1,1,1,1
359,1,1,1,1,1.5,1,1,1,1,1,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
361,2,2,1,2,2.5,2,1,2,2,1,3,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1
362,2,2,1,2,4,2,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
366,2,2,1,2,4,2,1,2,3,2, ,2,2,2,2,1,1,3,3,2,1,1,2,1,1,2,1,1,1,1,1
367,2,2,2,2,1.5,2,1,1,1,1,3,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
368, ,1,1,3,4.5,2,1,1,3, , ,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1
370,1,2,1,3,4.5,2,1,2,2,1,3,2,3,2,1,3,1,1,2,3,1,1,2,2,1,2,2,1,1,1,1
371,2,2,1,2,5,2,1,1,1,1,3,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
372,2,2,2,2,2,3,1,2,3,1,3,1,2,2,1,2,1,1,1,3,1,2,2,2,2,1,1,2,1,1,1
373,2,2,1,2,4.5,2,2,2, ,2,3.5,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1
374,2,2,1,2,2.5,2,2,2,2,1,3,2,2,2,1,1,1,2,1,3,1,1,1,2,1,1,1,1,1,1,1
376,3,3,1,2,4,3,1,1,2,1,3,2,2,2,2,1,1,3,1,2,1,1,3,1,1,2,1,1,1,1,1
377,2,2,2,3,3.5,2,1,1, ,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
382,3,2,1,3,5,3,2,2,2,2,5,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
383,2,2,1,3,2.5,2,1,1,1,1,3,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
384,2,3,1,2,3.5,3,2,2,2,3,5,2,2,1,1,1,2,3,3,2,2,1,2,3,2,1,1,1,1,1,2
385,2,2,1,2,2.5,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
386,2,2,2,2,4.5,3,1,1, ,2,4,1,2,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1
390,2,2,2,3,3,2,1,1,2,1,3,1,2,1,1,2,1,1,2,1,1,1,1,3,1,2,1,1,1,1,1
392,2,2,1,2,3,2,1,1,1,1,3,1,2,1,1,3,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1
393,2,2,1,3,2.5,3,1,2,3,2,4,2,2,2,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1
395,2,1,1,2,1.5,2,1,1, ,1,3,1,2,1,2,1,1,1,1,3,1,1,1,2,1,1,2,1,1,1,1
397,2,2,1,2,3,2,1,1,1,2,4,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
398,2,3,2,2,2,3,1,2,1,1,3,2,2,2,2,1,1,1,1,3,2,2,1,1,1,2,1,1,1,1,1
399,2,2,1,2,2.5,2,1,1,1,2,3.5,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1
400,2,2,1,2,2.5,2,1,1, ,1,3,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
401,2,2,1,3,2.5,2,1,1,2,2,3.5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
402,3,2,1,3,2.5,4,1,2, ,3,4.5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
403,1,1,1,2,1.5,2,1,2,1,2,3.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
404,2,2,1,3,4.5,2,2,2,3,1,3,2,3,2,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1
405,2,2,2,2,3,2,1,1,2,1,3,1,3,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1
406,1,2,1,2,4,1,1,2,2,1,3,2,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1
411,2,2,2,2,3,2,1,2,2,1,3,2,2,1,2,2,2,3,2,2,1,2,1,2,1,2,1,1,1,1,1
413,2,2,1,2,3,2,2,2,3,2,4.5,2,2,2,1,3,2,3,2,1,1,2,2,3,2,1,1,2,1,1,1
414,2,2,1,2,3,2,1,1,3,1,3,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
416,2,2,1,3,4.5,2,2,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1
