subid,sdint,luint,pgint,irint,irfrBIN1to5,trint,taint,arint,tting,mcint,mcfrBIN1to5,efint,elint,tkint,ilint,ugint,mpint,maarint,ueint,grint,grctint,fiint,pjint,isiint,islint,dcint,dnsint,sbint,anint,liint,aint
109,2,2,1,2,3.5,2,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,2,2,1,2,2,2,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,2,2,1,3,2.5,2,1,1,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
113,2,2,1,3,1.5,2,1,1, ,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
114,2,2,1,2,3.5,3,1,1, ,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,3,2,1,2, ,2,1,1,2,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
117,2,2,1,2,3.5,2,1,1, ,1,3,2,2,2,1,3,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1
118,2,2,1,2,2.5,2,2,2,2,1,3,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
120,1,1,1,1,1.5,1,1,2,3,1,3,1,1,2,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1
121,2,2,1,2,4.5,2,1,1,2,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1
122,2,2,1,2,4.5,2,1,1,1,1,3,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
125,2,2,1,2,2.5,2,1,1,2,2,3.5,1,2,1,1,1,1,1,1,2,1,1,1,3,2,1,1,1,1,1,1
126,4,3,2,4,4.5,3,2,2,3,1,3,2,2,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1
127,4,2,1,4,4,2,2,2, ,2,4,2,3,3,1,2,1,3,1,4,2,1,1,2,1,1,1,2,1,1,1
128,2,2,1,2,2.5,3,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
129,2,2,1,2,5,3,1,1,3,2,4,2,2,1,1,3,1,1,1,2,1,1,2,4,2,1,1,1,1,1,1
132,2,2,1,2,3.5,2,1,1, ,2,3.5,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
133,3,2,1,3,5,3,2,2,3,3,4.5,2,3,3,1,3,1,1,3,4,2,2,1,1,1,1,2,1,1,1,1
134,2,2,1,2,1.5,2,1,1, ,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
136,2,2,1,3,4,3,1,1, ,1,3,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
138,2,2,1,2,3.5,2,1,1,3,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
140,2,3,2,3,4.5,3,2,2,2,1,3,2,3,3,2,1,1,1,1,4,3,1,1,2,1,1,1,1,1,1,1
144,2,2,2,3,3,3,1,1,2,2,3.5,1,2,2,1,2,1,1,2,2,1,1,1,4,1,1,1,2,1,1,1
145,2,2,1,4,5,2,2,2, ,4,5,2,3,3,1,4,1,4,3,4,3,1,1,1,1,1,1,1,1,1,1
146,2,2,1,2,3,2,1,2, ,1,3,2,1,1,1,1,1,1,1,1,1,1,3,3,2,1,1,1,1,1,1
147,2,2,1,2,3.5,2,1,2, ,1,3,1,2,2,2,3,1,3,1,3,1,1,1,3,1,1,1,1,1,1,1
149,2,2,1,3,3.5,2,1,1,2,2,4.5,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1
151,2,3,1,4,4,2,1,2, ,3,5,2,2,1,1,2,1,1,1,2,1,2,2,1,1,3,1,1,1,1,1
152,3,2,1,3,3,3,1,1,2,1,3,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1
153,3,3,1,2,1.5,3,1,1,2,2,3.5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
154,3,3,1,3,2,2,1,1,2,2,3.5,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1
155,2,3,1,2,4,2,1,1,2,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
156,3,3,2,4,5,3,2,2, ,4,5,2,3,2,2,1,2,3,1,2,3,3,3,1,2,1,1,1,1,1,1
157,2,2,1,3,3,2,1,1,3,1,3,1,2,1,1,1,1,1,1,2,1,1,2,3,1,1,1,1,1,1,1
160,2,2,1,2,2.5,2,1,1,2,2,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
161,2,2,1,2,3,2,1,1,2,1,3,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1
162,2,2,1,3,1.5,3,1,2, ,2,4.5,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
163,2,2,1,2,1.5,1,2,1,2,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
164,2,1,1,2,2,2,1,1,2,1,3,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
165,3,1,1,4,4.5,2,1,2,3,3,4,2,3,1,1,1,3,4,3,4,2,1,3,4,3,1,3,1,1,1,1
167,2,2,1,2,1.5,2,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
168,2,2,1,2,2.5,3,1,1, ,1,3,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
169,2,2,2,3,2.5,2,1,1,2,1,3,1,2,1,1,2,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1
171,2,2,1,2,3,2,1,1,1,1,3,1,1,1,1,2,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1
174,2,2,1,2,1.5,2,1,1,3,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175,3,3,2,2,2.5,4,1,1,2,2,4,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1
176,2,2,1,2,2.5,2,1,1,2,2,4.5,1,2,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1
177,3,3,1,3,4.5,3,1,2, ,2,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
178,3,3,1,3,3,2,1,1,2,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
179,2,2,1,2,3,2,1,1, ,1,3,1,3,1,2,1,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1
180,3,2,1,3,2.5,3,2,2,2,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
182, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
183,2,2,1,2,1.5,2,1,1, ,1,3,1,2,1,1,1,1,1,1,2,1,1,2,3,1,1,1,2,1,1,1
185,3,3,1,3,2,2,2,2, ,3,4.5,2,3,2,2,3,1,1,2,4,1,1,1,2,1,2,1,1,1,1,1
187,4,3,1,2,3,3,1,1,2,1,3,1,2,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,2,1,1
188,2,2,1,2,2.5,2,1,1, ,1,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
189,2,2,1,2,1.5,2,1,1,1,1,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
190,3,2,1,3,2,2,1,2, ,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, ,1,1,1
191,2,2,1,3,2,2,1,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
192,2,2,2,3,2,2,1,1,2,1,3,1,2,2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1
193,2,2,1,1,1.5,2,1,1,1,1,3,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
195,2,2,1,2,1.5,2,1,2,2,1,3,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
196,2,2,1,4,4.5,2,1,1,2,2,4,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
197,3,3,1,2,4,2,1,1,2,1,3,2,2,1,1,4,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
198, ,4,2, ,2,4, ,2,3,4, , ,3,1,3,4,1,3,2,3,1,1,2,1,2,1,3,1, ,1,4
199,3,2,2,2,4,2,1,1,3,1,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1
200,3,3,1,2,2.5,2,1,1,1,1,3,1,2,2,1,4,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1
201,1,2,1,2,1.5,2,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1
202,2,1,1,2,2.5,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
203,2,1,1,1,1.5,2,1,1,1,1,3,1,3,1,1,3,1,3,3,1,1,1,1,1,1,1,3,1,1,1,1
205,2,2,1,2,2.5,2,1,1, ,1,3,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1
206,2,2,1,3,4.5,2,1,2,1,2,4,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1
208,2,2,1,2,1.5,3,1,1,1,3,4,1,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1
209,2,2,1,2,2.5,2,1,1,2,1,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
210,2,2,1,3,5,3,1,1,3,2,4,1,3,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1
212,2,2,1,2,2.5,2,1,1,2,1,3,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1, ,1,1,1
213,2,2,1,3,4,3,2,2, ,3,4,1,2,2,1,3,2,3,3,2,1,2,3,1,1,2,1,1,1,1,1
214,2,2,1,3,2,2,1,1,2,2,4.5,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1
215,3,2,1,2,2.5,2,1,1, ,2,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
217,4,3,1,3,5,4,1,1,3,4,5,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1
218,2,2,1,2,2,2,1,1,2,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
219,2,2,1,3, ,2,1,1, ,2, ,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
221,3,2,1,2,2.5,2,1,1,2,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
222,2,2,1,2,3,2,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
223,2,2,1,3,5,3,2,2,1,1,3,2,2,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,2,1,1
224,2,2,1,2,2.5,3,1,1,1,3,5,2,3,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1
225,2,2,1,2,3,2,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
226,2,2,1,3,1.5,2,1,1,2,1,3,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1
227,1,2,1,2,2.5,2,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1
228,4,2,1,4,4.5,2,2,2, ,3,5,2,2,1,1,1,1,1,2,3,3,1,1,2,1,1,1,1,1,1,1
231,2,2,1,2,4.5,2,1,1,1,2,5,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
232,2,2,1,3,3.5,2,1,1, ,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
233,3,2,1,3,5,2,1,1, ,1,3,1,3,2,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1
236,2,2,1,2,2.5,2,1,1,2,1,3,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
237,2,2,1,2,5,3,1,1, ,2,4,1,2,2,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1
238,2,2,1,2,1.5,2,1,1,1,1,3,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
241,3,3,1,2,3,3,1,1, ,1,3,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
242,2,2,1,2,3.5,2,1,1,1,1,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
243,2,2,1,2,5,2,1,2, ,3,5,1,1,1,1,2,1,2,2,2,1,1,2,2,1,2,1,1,1,1,1
244,2,2,1,2,3,2,1,1, ,1,3,1,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1
245,2,2,2,3,2.5,4,1,2, ,2,5,2,2,1,2,1,1,1,1,2,1,2,1,3,1,1,1,2,1,1,1
246,3,2,1,3,1.5,3,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
248,2,2,2,3,3.5,2,1,1,3,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
249,2,2,1,2,2.5,2,1,2,2,1,3,1,3,1,1,2,1,2,1,3,3,1,1,2,1,1,1,1,1,1,1
