subid,sdint,luint,pgint,irint,irfrBIN1to5,trint,taint,arint,ttint,mcint,mcfrBIN1to5,efint,elint,tkint,ilint,ugint,mpint,maarint,urint,grint,grctint,fiint,pjint,isiint,islint,dcint,dnsint,sbint,anint,liint,aint
329,1,1,1,1,2,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
330,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
331,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
333,1,1,1,2,5,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1, ,1,2,1,1,1,1,1,1,1,1
334,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
337,1,1,1,2,5,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
341,2,1,1,1,2,1,1,1, ,1,2,1,1,1,1,1,1,1,2,1, ,1,1,1,1,1,1,1,1,1,1
342,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,2,3,1,1,1,1,1,1
343,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
344,3,3,1,3,4.5,3,2,2,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,3,1,1,3,3,3
345,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,2,1,2,1,1,1
346,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1
347,2,1,2,1,2,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
348,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
349,1,1,1,1,2,2,1,1, ,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
350,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
352,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,2
353,2,2,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,2,2,1,1,3,1,1,1,2,2
354,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1, ,1,1,1,1,1,1,1,1,1,1
355, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
359,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
361,1,1,1,2,4.5,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,3,1,1,1,1,1
362,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
366,1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
367,2,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
368,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1, ,1,1,1,1,2,1,1,1,1,1
370,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1, ,1,3,1,1,1,1,1,1,1,1
372,1,1,2,1,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1
373,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
374,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
376,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
377,1,1,1,2,4.5,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
378,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,2,1,1,1,2,1,1,1
380,1,1,1,1,2,1,1,1, ,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
381,1,1,2,2, ,1,2,2, ,1,2,2,1,1,1,2,1,1,1,3,2,1,1,1,1,2,1,2,1,1,1
383,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
384,2,2,1,2,4,2,1,1,2,2,4.5,2,1,1,1,1,1,2,2,1, ,2,1,1,1,2,1,1,1,1,1
385,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
386,2,2,1,2,4.5,2,1,1,2,2,4.5,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
388,3,2,1,2,4.5,3,1,2,2,1,2,1,1,1,3,1,1,1,2,1, ,2,2,1,1,3,3,2,2,2,1
390,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,2,1,1,1,1,1
391,1,1,1,1,2,1,1,1, ,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
392,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
393,1,1,1,1,2,2,1,2,2,2,5,1,1,1,1,1,2,1,1,1, ,1,1,1,1,1,1,1,1,1,1
395,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
397,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
400,1,1,1,1,2,1,1,1,1,2,4.5,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
401,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
402,1,1,1,3,5,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,2
403,1,1,1,2,5,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
404,1,1,1,2,5,1,1,1,3,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
405,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
406,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
408,2,1,2,2,5,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1, ,1,1,1,1,1,1,1,1,1,1
409,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
411,2,2,1,1,2,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1, ,1,1,1,1,1,1,2,2,2,2
413,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1, ,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
414,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
416,1,2,1,2,5,1,2,2,2,3,5,2,1,1,1,1,1,1,1,1, ,1,1,1,1,2,1,1,1,1,2
