subid,sdint,luint,pgint,irint,irfrBIN1to5,trint,taint,arint,ttint,mcint,mcfrBIN1to5,efint,elint,tkint,ilint,ugint,mpint,maarint,urint,grint,grctint,fiint,pjint,isiint,islint,dcint,dnsint,sbint,anint,liint,aint
106,1,1,2,1,2,2,1,1, ,1,2,1,2,2,2,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
107,1,1,1,1,2,2,1,1, ,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
109,1,1,1,1,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
110, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
111,1,1,1,1,2,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
112,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,2,2,1,1,1,1,1,1
114,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
116,2,1,1,1,2,2,1,2,1,2,4.5,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
117,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
119,1,1,1,1,2,1,1,1, ,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
120,1,1,1,2,5,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
121,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
122,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
125,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,2,1,1,1,1,1,1
126,1,2,1,1,2,2,1,2,2,2,4.5,2,1,2,1,1,2,1,1,1, ,1,1, ,1,1,1,2,1,1,1
127,2,1,1,2,5,2,2,2,2,2,5,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
128,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
129,1,1,1,1,2,1,1,2,2,2,5,2,1,1,1,1,1,1,1,1, ,1,2,1,1,1,1,1,1,1,1
132,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,3,2,1,1,1,2,1,1,1
133,1,1,1,2,4,1,2,2,3,2,5,2,1,3,1,2,2,1,1,1, ,1,1,1,1,2,1,1,1,1,1
134,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,2,1,1,1,1,1
136,1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,2,1,1,1,1,1
138,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1, ,1,1,1,2,1,1,1
140, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
143,2,1,1,2,5,1,1,2, ,2,5,2,1,1,1,3,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
144,1,1,1,1,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,2,1,2,1,1,1
146,1,1,1,1,2,2,1,2,2,2,5,1,1,1,1,1,1,1,1,1, ,1,1,1,1,2,1,2,1,1,1
147,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1, ,1,1,1,1,2,1,1,1,1,1
149,1,1,1,1,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
151,1,1,1,1,2,1,1,1,3,2,5,2,1,1,1,1,1,1,1,1, ,1,1,1,1,2,1,1,1,1,1
152,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
153,2,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
154,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
155,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
156,2,2,1,2, ,2,2,2, ,3,5,2,2,2,2,1,1,1,1,1, ,2,1,1,1,1,1,2,2,1,1
157,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
160,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
161,1,1,1,2,4.5,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
162,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
164,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
165,3,2,1,3,4.5,1,2,2,3,2,4.5,2,1,1,2,1,1,1,1,1, ,1,1,2,3,1,1,2,1,1,1
167,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
169,2,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
171,1,1,1,1,2,1,2,2,2,2,5,2,1,1,1,1,1,1,1,1, ,1,1,2,2,1,1,2,1,1,1
174,1,1,1,1,2,1,1,2,2,2,5,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
175,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
176,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,2,1,1,1,1,1
177,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
178,2,2,1,2,5,1,2,2,1,2,5,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
179,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,2,1,1,1,1,1
