subid,sdint,luint,pgint,irint,irfrBIN1to5,trint,taint,arint,ttint,mcint,mcfrBIN1to5,efint,elint,tkint,ilint,ugint,mpint,maarint,ueint,grint,grctint,fiint,pjint,isiint,islint,dcint,dnsint,sbint,anint,liint,aint
25,1,1,1,1,2,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
27,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
29,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
32,1,1,1,2,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
39,3,3,1,1,2,3,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,3,1,1
41,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,2,1,1,1,1,1
43,2,2,1,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
45,2,1,1,2,5,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
47,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
49,3,1,1,3,4.5,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,2,3,1
53,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
54,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
56,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
60,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
67,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
77,2,2,1,3,5,2,1,1,1,2,5,1,1,1,1,1,1,1,1,1, ,1,1,1,1,2,1,1,2,2,1
78,3,2,1,1,2,1,2,2,2,2,5,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1, ,1,1,1
85,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,2
104,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
106,1,1,1,2,5,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
111,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
112,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
116,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,2,1,1,2,1,1,1
121,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
126,1,1,1,2,5,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
127,1,1,1,1,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
128,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
132,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
147,1,1,1,1,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,2,1,2,1,1,1
151,1,2,1,2,5,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
152,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
153,2,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
155,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
164,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
165,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,3,1,1,2,1,1,1
167,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
175,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
177,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
179,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1
181,1,1,1,2,5,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
187,1,1,1,2,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
188,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
189,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,2,1,1,1,1,1
192,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
195,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
197,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
198,2,1,1,2,5,2,1,1,3,2,2,1,1,1, ,1,1,1,1,1, ,1,1,2,2,1,1,2,1,1,1
200,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
201,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,2,1,1,1,1,1
202,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
205,3,2,2,1,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
206,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
209,1,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
210,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
212,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
213,1,1,1,1,2,1,2,2,2,1,2,2,1,1,1,2,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
217,3,1,1,2,5,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
221,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
223,1,1,1,2,5,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
224,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
228,2,2,1,2,5,2,1,1,3,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,2
231,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
232,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
233,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
236,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,2,1,2,1,1,1
237,2,2,1,2,5,2,2,2,2,2,5,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
244,1,1,1,1,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
246,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
252,2,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
254,1,1,1,1,2,1,2,2,2,2,5,1,1,1,1, ,1,1, ,2,2,1,2,1,1,1,1,1,1,1,1
256,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
261,1,1,1,1,2,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
267,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
274,1,1,1,1,2,1,1,1,2,2,5,2,1,1,1,1,1,1,1,1, ,1,1,1,3,1,1,1,1,1,1
275,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
278,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1, ,1,1,1,1,1,1,1,1,1,1
280,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
283,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
284,1,1,1,1,2,2,2,2,2,2,5,2,3,2,1,3,3,3,2,3,2,3,1,1,1,1,1,2,3,1,1
286,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,3,1, ,1,1,1
288,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
290,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
291,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
295,1,1,1,2, ,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
304,2,1,1,1,2,1,2,2,3,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
305,1,1,1,1,2,1,1,1,2,2,5,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
308,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
309,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
312,1,1,1,1,2,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
315,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
323,2,1,2,2,5,2,2,2, , ,2,2,1, , , , ,1, , , , , ,1, ,2, ,2,1,1,1
324,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
327,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
331,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
333,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
334,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
345,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
348,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
350,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
352,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
359,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
361,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
362,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
367,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
368,1,1,1,1,2,1,1,2,3,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
370,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
371,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
372,2,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,2,1,1,1,1,1
373,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
374,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
377,3,1,2,2, ,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,1,1
385,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
386,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
388,1,1,1,1,2,1,1,1,1,1,2,2,1,3,1,1,2,2,1,1, ,2,1,1,1,1,1,2,1,1,1
390,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
395,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
397,1,1,1,2,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
400,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
401,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
402,1,1,1,2,5,2,2,2,3,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,2,1,3,1
403,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
404,1,1,1,1,2,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1
